"球员","所属球队","出场.替补.","出场时间","进球.点.","分钟.球","射门","射正","入球转化率","被侵犯","越位","最佳","生日","惯用脚","国籍","合同截止期","位置","铲断","拦截","解围","偷球","封堵","头球","犯规","总传球","传球成功率","关键传球","助攻","分钟.助攻","长传","直塞","带球摆脱","联赛","名次","身价"
"佩林","圣埃蒂安","31",2700,"1",2700,13,3,"7.7%",20,0,2,"1985-08-07","右脚","法国","2020-06-30","后卫",54,38,110,6,24,89,26,1607,0.861,8,1,2700,196,1,6,"法甲",67,225
"卡贝拉","圣埃蒂安","34",3028,"8(1)",432.6,82,26,"8.5%",67,4,6,"1990-03-08","右脚","法国、意大利","2022-06-30","中场",86,17,4,76,1,16,36,1966,0.867,59,4,757,97,9,57,"法甲",67,1260
"T.科罗德杰克扎克","圣埃蒂安","36(1)",3184,"3",1061.3,16,6,"18.8%",12,0,0,"1991-10-01","左脚","法国、波兰","2019-06-30","后卫",35,53,112,8,11,46,31,1794,0.821,15,3,1061.3,258,0,10,"法甲",67,540
"瓦达","圣埃蒂安","14(11)",433,"1",433,7,1,"14.3%",10,0,0,"1996-03-06","右脚","阿根廷、意大利","2019-06-30","中场",10,9,4,5,1,2,8,286,0.846,7,1,433,22,0,5,"法甲",67,360
"帕奎特","圣埃蒂安","22(6)",1482,"1",1482,20,8,"5%",9,1,1,"1988-08-19","右脚","法国、卢旺达","2021-06-30","中场",45,12,27,23,4,28,22,556,0.786,14,1,1482,23,0,20,"法甲",67,180
"德比希","圣埃蒂安","24(1)",1948,"4",487,14,9,"28.6%",19,7,2,"1985-07-28","右脚","法国","2021-06-30","后卫",41,45,59,13,8,94,35,834,0.73,21,3,649.3,85,1,8,"法甲",67,270
"L.迪奥尼","圣埃蒂安","30(11)",1598,"5",319.6,39,19,"12.8%",28,6,0,"1992-12-20","右脚","法国","2021-06-30","前锋",16,1,10,32,0,28,29,284,0.676,19,1,1598,9,1,13,"法甲",67,540
"R.哈姆马","圣埃蒂安","27(8)",1594,"4",398.5,34,11,"11.8%",34,4,2,"1987-03-29","右脚","法国、阿尔及利亚","2021-06-30","中场",28,9,3,30,1,23,24,460,0.787,31,4,398.5,15,3,17,"法甲",67,225
"穆兰","圣埃蒂安","1",90,"0",0,0,0,"0%",0,0,0,"1986-01-13","右脚","法国","2022-06-30","守门员",0,0,4,0,0,2,0,20,0.85,0,0,0,2,0,1,"法甲",67,22.5
"W.卡兹里","圣埃蒂安","32",2825,"13(4)",313.9,92,38,"9.8%",52,23,4,"1991-02-08","右脚","突尼斯、法国","2022-06-30","中场",41,12,4,67,2,14,55,868,0.748,68,6,470.8,100,4,43,"法甲",67,1440
"姆维拉","圣埃蒂安","37",3305,"0",0,14,2,"0%",33,0,0,"1990-06-29","右脚","法国、刚果","2022-06-30","中场",75,70,79,14,12,51,20,2285,0.862,24,1,3305,375,5,10,"法甲",67,900
"亚尼斯.萨里布尔","圣埃蒂安","21(12)",924,"1",924,33,4,"3%",30,6,0,"1991-01-24","左脚","法国、刚果民主共和国","2019-06-30","中场",8,8,3,28,0,9,21,274,0.796,19,3,308,13,1,26,"法甲",67,450
"贝里克","圣埃蒂安","23(11)",1171,"9",130.1,37,20,"24.3%",23,4,0,"1991-06-17","双脚","斯洛文尼亚","2022-06-30","前锋",11,4,3,15,2,28,33,197,0.69,8,1,1171,3,0,3,"法甲",67,405
"席尔瓦","圣埃蒂安","19(3)",1433,"0",0,5,1,"0%",30,2,0,"1991-05-13","左脚","巴西","2023-06-30","后卫",20,12,52,8,3,31,18,427,0.813,7,2,716.5,45,0,9,"法甲",67,225
"R.鲁菲尔","圣埃蒂安","37",3330,"0",0,0,0,"0%",0,0,1,"1986-09-27","右脚","法国","2021-06-30","守门员",2,0,32,0,0,17,1,1033,0.577,0,0,0,653,0,0,"法甲",67,360
"尤斯夫","圣埃蒂安","25(3)",1921,"0",0,14,2,"0%",19,0,2,"1996-07-07","右脚","摩洛哥、法国","2019-06-30","中场",52,35,20,13,7,15,19,1327,0.866,18,2,960.5,147,5,20,"法甲",67,900
"M.德罗","史帕尔","16(5)",1080,"0",0,13,3,"0%",31,1,1,"1996-08-09","右脚","意大利","2024-06-30","中场",22,20,12,12,2,8,16,471,0.875,17,3,360,23,1,2,"意甲",183,450
"G.波卢齐","史帕尔","1(1)",5,"0",0,0,0,"0%",0,0,0,"1988-02-25","右脚","意大利","2019-06-30","守门员",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,"意甲",183,9
"蒂亚戈·乔内克","史帕尔","31(2)",2589,"0",0,16,1,"0%",37,1,1,"1986-04-21","右脚","波兰、巴西","2020-06-30","后卫",73,53,126,13,23,63,53,1475,0.812,17,3,863,205,1,5,"意甲",183,72
"A.戈麦斯","史帕尔","20(1)",1723,"0",0,0,0,"0%",3,0,1,"1993-09-05","右脚","塞内加尔、意大利","2021-06-30","守门员",0,1,17,0,0,6,1,558,0.677,0,0,0,314,0,0,"意甲",183,270
"帕洛斯基","史帕尔","22(14)",851,"2",425.5,10,4,"20%",10,8,0,"1990-01-04","右脚","意大利","2021-06-30","前锋",13,1,0,15,0,7,17,160,0.756,5,0,0,4,0,1,"意甲",183,315
"洛伦科.西米克","史帕尔","7(5)",233,"0",0,5,0,"0%",2,0,0,"1996-07-15","右脚","克罗地亚","2019-06-30","后卫",6,12,16,2,1,10,3,148,0.824,1,0,0,18,0,0,"意甲",183,108
"拉萨里","史帕尔","33",2842,"0",0,34,5,"0%",63,0,2,"1993-11-29","右脚","意大利","2024-06-30","中场",27,22,37,45,5,15,28,1040,0.817,54,8,355.2,44,0,62,"意甲",183,1620
"M.扬科维奇","史帕尔","4(4)",49,"0",0,1,1,"0%",4,0,0,"1995-07-09","左脚","黑山、塞尔维亚","2021-06-30","中场",3,0,0,0,0,0,2,25,0.84,2,0,0,2,0,2,"意甲",183,158
"瓦尔迪费奥利","史帕尔","15(7)",667,"0",0,7,2,"0%",8,0,0,"1986-04-21","右脚","意大利","2020-06-30","中场",17,5,8,3,2,2,13,499,0.852,22,1,667,46,2,2,"意甲",183,90
"米西罗利","史帕尔","34(1)",2750,"0",0,15,1,"0%",55,0,1,"1986-05-23","右脚","意大利","2021-06-30","中场",55,41,39,25,11,69,30,1502,0.828,27,0,0,94,0,21,"意甲",183,198
"博尼法泽","史帕尔","27(1)",2302,"2",1151,12,4,"16.7%",19,0,2,"1996-05-19","右脚","意大利","2022-06-30","后卫",43,36,76,19,20,40,20,1202,0.875,8,1,2302,133,0,23,"意甲",183,495
"菲利佩","史帕尔","30(3)",2363,"3",787.7,14,8,"21.4%",14,0,0,"1984-07-31","左脚","巴西、意大利","2020-06-30","后卫",36,21,85,2,19,53,34,1225,0.869,8,2,1181.5,169,0,5,"意甲",183,45
"默德","史帕尔","35(3)",2947,"3",982.3,56,16,"5.4%",40,0,2,"1996-02-15","左脚","阿尔及利亚、法国","2022-06-30","中场",64,51,59,40,4,42,52,1116,0.787,38,0,0,102,1,34,"意甲",183,540
"韦卡里","史帕尔","28(2)",2339,"2",1169.5,8,4,"25%",11,0,1,"1994-08-03","右脚","意大利","2022-06-30","后卫",28,32,135,3,23,46,14,1006,0.888,2,1,2339,117,1,0,"意甲",183,180
"洛伦佐.迪文","史帕尔","6(4)",172,"0",0,1,0,"0%",3,0,0,"1996-09-24","右脚","意大利","2022-06-30","后卫",5,1,3,1,0,3,3,46,0.717,0,0,0,4,0,1,"意甲",183,144
"维维亚诺","史帕尔","17",1525,"0",0,0,0,"0%",2,0,0,"1985-12-01","左脚","意大利","2019-06-30","守门员",1,0,11,0,0,2,0,532,0.684,1,0,0,319,0,1,"意甲",183,180
"佩塔尼亚","史帕尔","36(1)",3044,"16(6)",304.4,90,42,"11.1%",46,6,2,"1995-06-30","左脚","意大利","2020-06-30","前锋",14,4,15,88,8,40,42,729,0.798,29,1,3044,58,0,28,"意甲",183,810
"瓦洛蒂","史帕尔","24(10)",1226,"2",613,20,4,"10%",28,0,0,"1993-09-06","右脚","意大利","2021-06-30","中场",35,18,13,16,0,23,34,494,0.808,10,0,0,30,0,8,"意甲",183,90
"雷吉尼","史帕尔","4(3)",79,"0",0,0,0,"0%",3,0,0,"1990-09-09","左脚","意大利","2021-06-30","后卫",1,0,4,1,1,3,3,42,0.738,0,0,0,8,0,0,"意甲",183,162
"朱鲁","史帕尔","5(2)",279,"0",0,1,1,"0%",0,0,0,"1987-01-18","右脚","瑞士、科特迪瓦","2019-06-30","后卫",3,5,19,1,3,8,4,112,0.911,0,0,0,8,0,2,"意甲",183,72
"库尔提克","史帕尔","30(1)",2561,"6",426.8,64,13,"9.4%",55,0,1,"1989-01-10","右脚","斯洛文尼亚","2021-06-30","中场",37,20,50,22,3,65,36,1217,0.859,37,5,512.2,86,0,24,"意甲",183,450
"弗洛卡里","史帕尔","20(9)",976,"3",325.3,24,8,"12.5%",18,3,0,"1981-11-12","右脚","意大利、圣马力诺","2019-06-30","前锋",12,1,4,20,2,24,14,230,0.791,4,1,976,4,0,7,"意甲",183,27
"斯基亚塔雷拉","史帕尔","27(7)",1843,"0",0,14,4,"0%",51,1,0,"1987-05-30","右脚","意大利","2020-06-30","中场",43,22,26,19,5,18,33,1299,0.871,36,4,460.8,99,0,9,"意甲",183,108
"库亚特","水晶宫","31(10)",1897,"0",0,20,8,"0%",17,3,0,"1989-12-21","右脚","塞内加尔、比利时","2022-06-30","中场",55,16,32,22,11,65,34,758,0.802,14,2,948.5,41,1,11,"英超",63,900
"J.沃德","水晶宫","7(1)",551,"1",551,2,1,"50%",6,1,0,"1989-10-29","右脚","英格兰","2021-06-30","后卫",13,10,31,4,0,18,8,185,0.741,2,0,0,23,0,1,"英超",63,450
"施鲁普","水晶宫","29(11)",1665,"4",416.2,28,8,"14.3%",14,0,1,"1992-12-23","左脚","加纳、德国","2021-06-30","后卫",38,21,20,25,8,51,25,625,0.762,16,1,1665,39,3,22,"英超",63,810
"凯利","水晶宫","13(1)",1110,"0",0,3,1,"0%",1,0,0,"1990-04-27","右脚","英格兰","2019-06-30","后卫",22,11,84,1,11,36,6,355,0.746,1,0,0,85,0,0,"英超",63,270
"本特克","水晶宫","16(7)",813,"1",813,25,8,"4%",9,10,1,"1990-12-03","右脚","比利时、刚果民主共和国","2020-06-30","前锋",4,0,13,15,2,88,18,240,0.571,9,1,813,10,0,5,"英超",63,1980
"巴舒亚伊","水晶宫","11(2)",756,"5",151.2,27,10,"18.5%",2,13,0,"1993-10-02","右脚","比利时、刚果民主共和国","2019-06-30","前锋",4,3,0,12,3,11,7,160,0.656,2,0,0,13,1,8,"英超",63,3600
"斯佩罗尼","水晶宫","1",90,"0",0,0,0,"0%",0,0,0,"1979-05-18","右脚","阿根廷、意大利","2019-06-30","守门员",0,0,1,0,0,1,0,32,0.375,0,0,0,30,0,0,"英超",63,22.5
"亨尼西","水晶宫","18(1)",1575,"0",0,0,0,"0%",1,0,2,"1987-01-24","右脚","威尔士","2021-06-30","守门员",0,0,17,0,0,10,0,449,0.47,0,0,0,355,0,0,"英超",63,360
"米利沃耶维奇","水晶宫","38",3420,"12(10)",1710,57,25,"3.5%",37,0,2,"1991-04-07","右脚","塞尔维亚","2020-06-30","中场",90,71,64,19,15,53,60,1981,0.798,57,2,1710,263,2,14,"英超",63,1350
"A.比斯卡","水晶宫","35",3150,"0",0,9,0,"0%",16,2,3,"1997-11-26","右脚","英格兰","2024-06-30","后卫",132,86,126,40,16,44,23,1159,0.732,14,3,1050,146,0,56,"英超",63,3150
"迈耶尔","水晶宫","29(14)",1413,"1",1413,38,8,"2.6%",18,1,0,"1995-09-18","右脚","德国","2021-06-30","中场",33,16,18,23,0,4,10,658,0.831,22,2,706.5,27,0,13,"英超",63,1620
"瓜伊塔","水晶宫","20",1755,"0",0,0,0,"0%",6,0,1,"1987-01-10","右脚","西班牙","2021-06-30","守门员",0,0,18,0,0,8,1,489,0.427,0,0,0,401,0,0,"英超",63,450
"丹恩","水晶宫","9(2)",660,"0",0,6,1,"0%",0,0,0,"1987-02-14","右脚","英格兰","2020-06-30","后卫",4,5,45,1,12,25,4,259,0.741,2,1,660,46,0,3,"英超",63,450
"乔丹·阿尤","水晶宫","19(5)",1186,"1",1186,27,3,"3.7%",25,9,1,"1991-09-11","右脚","加纳、法国","2023-06-30","前锋",35,7,5,30,0,33,31,264,0.777,15,2,593,9,1,11,"英超",63,720
"范安霍尔特","水晶宫","36",3198,"3",1066,45,11,"6.7%",14,10,1,"1990-08-29","左脚","荷兰、库拉索","2021-06-30","后卫",45,42,78,15,9,10,12,1610,0.798,35,2,1599,146,5,18,"英超",63,810
"汤森德","水晶宫","38(4)",3018,"6",503,62,19,"9.7%",56,9,2,"1991-07-16","左脚","英格兰","2021-06-30","中场",60,36,17,74,5,5,10,1025,0.791,61,4,754.5,68,1,58,"英超",63,1350
"萨科","水晶宫","27",2417,"0",0,4,1,"0%",13,0,0,"1990-02-13","左脚","法国、塞内加尔","2021-06-30","后卫",26,41,126,6,16,48,5,6,0.833,0,0,0,1,0,0,"英超",63,1350
"康纳.维克汉姆","水晶宫","6(6)",61,"0",0,5,1,"0%",0,0,0,"1993-03-31","右脚","英格兰、北爱尔兰","2020-06-30","前锋",0,0,2,2,0,7,3,11,0.455,4,1,61,0,0,0,"英超",63,450
"汤姆金斯","水晶宫","29",2563,"1",2563,21,5,"4.8%",12,1,0,"1989-03-29","右脚","英格兰","2021-06-30","后卫",35,38,178,3,10,89,16,1107,0.831,7,1,2563,232,0,1,"英超",63,720
"麦克阿瑟","水晶宫","38(2)",3077,"3",1025.7,33,8,"9.1%",38,2,1,"1987-10-07","双脚","苏格兰","2021-06-30","中场",81,42,41,35,21,48,60,1402,0.79,31,6,512.8,144,4,15,"英超",63,540
"W.扎哈","水晶宫","34",3044,"10",304.4,73,27,"13.7%",102,16,3,"1992-11-10","右脚","科特迪瓦、英格兰","2023-06-30","中场",35,8,1,136,0,8,44,1002,0.779,55,5,608.8,41,2,105,"英超",63,2700
"L.科內","斯特拉斯堡","27(4)",2147,"1",2147,6,2,"16.7%",22,0,0,"1989-02-01","右脚","科特迪瓦、法国","2019-06-30","后卫",18,30,63,8,13,56,22,1077,0.843,5,1,2147,154,0,8,"法甲",NA,270
"凯文.佐伊","斯特拉斯堡","20(14)",620,"1",620,17,5,"5.9%",10,2,0,"1996-12-19","右脚","科特迪瓦、马里","2021-06-30","中场",15,6,3,18,0,9,7,181,0.762,5,1,620,11,1,14,"法甲",NA,13.5
"西索科","斯特拉斯堡","32(2)",2669,"3",889.7,28,8,"10.7%",27,0,1,"1997-10-27","右脚","法国、马里","2022-06-30","中场",64,29,38,38,3,58,73,1233,0.809,22,2,1334.5,112,3,32,"法甲",NA,450
"莫扎茨泽米","斯特拉斯堡","1(1)",1,"0",0,0,0,"0%",0,0,0,"1999-08-07","左脚","突尼斯","2021-06-30","中场",1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,"法甲",NA,22.5
"卡罗勒","斯特拉斯堡","23(3)",1729,"0",0,8,2,"0%",27,2,0,"1991-04-12","左脚","法国","2021-06-30","后卫",23,29,44,24,5,27,12,819,0.791,22,3,576.3,66,1,9,"法甲",NA,270
"杰里米.格里姆","斯特拉斯堡","5(3)",167,"0",0,2,1,"0%",3,1,0,"1987-03-27","右脚","法国、法国","2019-06-30","中场",4,4,5,1,0,3,4,83,0.843,1,0,0,8,0,0,"法甲",NA,54
"阿卜杜拉恩多","斯特拉斯堡","4",295,"0",0,1,0,"0%",4,0,0,"1993-12-20","左脚","塞内加尔","2019-06-30","后卫",6,5,8,2,2,3,3,146,0.795,2,0,0,22,0,0,"法甲",NA,54
"L. 莫伊巴","斯特拉斯堡","34(13)",2022,"10",202.2,35,20,"28.6%",27,11,0,"1996-01-28","右脚","南非","2023-06-30","前锋",10,1,14,38,1,38,57,470,0.785,17,2,1011,10,0,12,"法甲",NA,540
"拉拉","斯特拉斯堡","34",3060,"5(1)",765,24,10,"16.7%",37,0,3,"1991-10-03","右脚","法国、法国","2019-06-30","后卫",77,30,48,53,8,28,33,1636,0.807,62,9,340,246,6,34,"法甲",NA,720
"A.卡斯","斯特拉斯堡","29(3)",2301,"0",0,6,0,"0%",8,1,0,"1997-07-01","右脚","法国",NA,"后卫",50,47,58,8,10,22,26,1217,0.817,12,1,2301,159,1,9,"法甲",NA,225
"普尔西奇","斯特拉斯堡","12",1053,"2",526.5,15,4,"13.3%",4,0,0,"1993-11-20","右脚","波黑、法国","2019-06-30","中场",20,21,6,6,8,11,11,701,0.873,20,1,1053,121,0,12,"法甲",NA,225
"塞尔斯","斯特拉斯堡","37",3330,"0",0,0,0,"0%",6,0,1,"1992-02-26","右脚","比利时","2022-06-30","守门员",0,2,40,0,0,16,1,955,0.572,0,0,0,689,0,1,"法甲",NA,405
"鲁多维奇","斯特拉斯堡","25(7)",1539,"9",171,46,17,"19.6%",17,2,4,"1994-02-25","右脚","法国","2022-06-30","前锋",16,5,10,22,0,101,45,455,0.756,14,1,1539,24,1,10,"法甲",NA,158
"冈萨尔维斯","斯特拉斯堡","17(5)",1059,"5",211.8,14,11,"35.7%",6,2,1,"1986-03-06","右脚","法国、葡萄牙","2020-06-30","中场",23,11,15,8,2,13,31,398,0.756,15,2,529.5,36,0,6,"法甲",NA,45
"塞缪尔","斯特拉斯堡","19(14)",634,"0",0,5,2,"0%",4,4,0,"1996-08-14","右脚","法国","2020-06-30","中场",20,0,5,12,0,4,10,187,0.674,6,1,634,20,0,16,"法甲",NA,270
"帕布罗.马丁内斯","斯特拉斯堡","21",1828,"2",914,9,3,"22.2%",27,0,1,"1989-02-21","左脚","法国、西班牙","2022-06-30","后卫",32,35,83,2,15,44,17,1074,0.864,2,0,0,204,1,6,"法甲",NA,315
"努诺.达科斯塔","斯特拉斯堡","33(11)",2054,"8(1)",293.4,47,18,"14.9%",42,9,1,"1991-02-10","右脚","佛得角、法国","2021-06-30","前锋",38,13,4,60,2,54,40,474,0.696,20,5,410.8,18,3,28,"法甲",NA,360
"科格奈特","斯特拉斯堡","17(11)",664,"1",664,19,9,"5.3%",19,2,0,"1987-04-06","右脚","法国","2020-06-30","中场",20,5,8,9,0,23,17,252,0.663,6,2,332,10,2,8,"法甲",NA,90
"川岛永嗣","斯特拉斯堡","1",90,"0",0,0,0,"0%",0,0,0,"1983-03-20","右脚","日本","2019-06-30","守门员",0,0,0,0,0,1,0,31,0.548,0,0,0,27,0,0,"法甲",NA,22.5
"米厝域","斯特拉斯堡","34",3060,"0",0,14,5,"0%",10,1,0,"1990-05-22","双脚","塞尔维亚","2022-06-30","后卫",24,45,137,3,31,65,18,1392,0.907,2,0,0,145,0,3,"法甲",NA,270
"迪米特里.利尔纳德","斯特拉斯堡","21(6)",1288,"0",0,22,7,"0%",16,3,0,"1988-02-13","左脚","法国","2021-06-30","中场",32,20,19,15,2,6,5,711,0.838,14,2,644,110,0,13,"法甲",NA,180
"艾迪恩","斯特拉斯堡","34(6)",2491,"5",498.2,53,18,"9.4%",40,6,0,"1993-12-10","左脚","法国、克罗地亚","2021-06-30","中场",53,15,6,44,6,17,26,1110,0.778,40,8,311.4,56,5,17,"法甲",NA,720
"P.帕瓦尔","斯图加特","29",2610,"0",0,12,4,"0%",14,0,0,"1996-03-28","右脚","法国","2021-06-30","后卫",31,53,184,4,19,79,19,1435,0.847,10,0,0,197,0,7,"德甲",NA,3600
"卡巴克","斯图加特","14",1260,"3",420,11,5,"27.3%",13,0,1,"2000-03-25","右脚","土耳其","2024-06-30","后卫",32,24,48,5,6,49,21,536,0.776,2,0,0,84,0,12,"德甲",NA,1350
"埃里克","斯图加特","19(13)",799,"1",799,25,4,"4%",17,5,0,"1994-08-20","右脚","德国","2020-06-30","守门员",5,13,4,18,1,8,8,266,0.805,18,1,799,18,3,8,"德甲",NA,270
"雷奈","图卢兹","31",2790,"0",0,0,0,"0%",8,0,4,"1990-10-28","右脚","法国","2022-06-30","守门员",0,1,26,1,0,13,1,957,0.618,4,0,0,629,1,3,"法甲",NA,450
"史蒂文·莫雷拉","图卢兹","10",865,"0",0,7,1,"0%",5,2,0,"1994-08-13","右脚","法国、佛得角","2021-06-30","后卫",18,9,12,10,0,5,13,300,0.76,4,0,0,31,0,4,"法甲",NA,113
"J.哥里丁","图卢兹","18(12)",622,"0",0,14,6,"0%",15,5,0,"1995-07-15","右脚","法国","2021-06-30","前锋",8,2,3,18,0,15,8,176,0.795,9,0,0,7,0,5,"法甲",NA,225
"格拉德尔","图卢兹","36",3240,"12(4)",405,118,42,"6.8%",94,17,1,"1987-11-30","右脚","科特迪瓦、法国","2021-06-30","中场",58,18,24,101,9,45,70,1130,0.739,52,5,648,73,6,91,"法甲",NA,720
"I.施拿","图卢兹","24(1)",1993,"2",996.5,16,5,"12.5%",15,2,2,"1994-01-01","左脚","几内亚","2020-06-30","后卫",48,39,63,16,10,60,34,899,0.778,18,0,0,80,0,16,"法甲",NA,270
"戈伊科切亚","图卢兹","8(1)",712,"0",0,0,0,"0%",2,0,1,"1988-03-27","右脚","乌拉圭、意大利","2019-06-30","守门员",0,0,13,0,0,3,0,215,0.614,0,0,0,140,0,0,"法甲",NA,72
"伊塞卡","图卢兹","27(12)",1484,"4",371,29,11,"13.8%",14,7,0,"1997-11-15","右脚","比利时、刚果民主共和国","2022-06-30","中场",6,1,10,27,3,34,23,260,0.8,10,0,0,7,1,6,"法甲",NA,270
"博斯托克","图卢兹","16(6)",984,"0",0,7,0,"0%",14,0,0,"1992-01-15","左脚","特立尼达和多巴哥、英格兰","2021-06-30","中场",23,17,11,9,2,13,19,589,0.854,7,0,0,45,1,0,"法甲",NA,67.5
"昌子源","图卢兹","18",1620,"0",0,2,0,"0%",9,0,0,"1992-12-11","右脚","日本","2022-06-30","后卫",24,19,49,5,14,21,9,726,0.844,6,0,0,132,0,5,"法甲",NA,342
"多塞维","图卢兹","35(5)",2481,"4",620.2,23,10,"17.4%",46,19,2,"1988-02-12","右脚","多哥、法国","2020-06-30","中场",40,30,4,51,1,15,30,720,0.765,58,2,1240.5,35,2,40,"法甲",NA,360
"开尔文阿斗","图卢兹","32",2880,"0",0,17,4,"0%",11,3,1,"1998-09-08","右脚","法国","2021-06-30","后卫",69,36,100,21,13,44,39,971,0.781,8,1,2880,123,0,18,"法甲",NA,450
"迪尔","托特纳姆热刺","20(2)",1509,"3",503,9,3,"33.3%",9,0,0,"1994-01-15","右脚","英格兰、葡萄牙","2021-06-30","中场",27,22,43,10,12,37,24,1083,0.85,8,0,0,87,2,2,"英超",17,3600
"哈里.凯恩","托特纳姆热刺","28(1)",2427,"17(4)",186.7,101,45,"12.9%",52,10,6,"1993-07-28","右脚","英格兰","2024-06-30","前锋",9,1,14,46,6,48,31,552,0.732,30,4,606.8,70,10,40,"英超",17,13500
"维尔通亨","托特纳姆热刺","22",1919,"1",1919,15,2,"6.7%",10,1,1,"1987-04-24","左脚","比利时","2019-06-30","后卫",35,33,72,2,11,48,10,1528,0.875,4,0,0,149,0,10,"英超",17,2880
"温克斯","托特纳姆热刺","26(9)",1592,"1",1592,9,2,"11.1%",15,2,1,"1996-02-02","右脚","英格兰","2023-06-30","中场",22,21,19,23,3,12,16,1387,0.918,7,0,0,83,1,17,"英超",17,1350
"K.皮特斯","托特纳姆热刺","6(2)",374,"0",0,2,0,"0%",10,1,0,"1997-04-13","右脚","英格兰","2021-06-30","后卫",6,5,4,3,1,3,4,187,0.829,7,3,124.7,8,0,9,"英超",17,270
"孙兴民","托特纳姆热刺","31(8)",2140,"12",178.3,74,29,"16.2%",19,22,4,"1992-07-08","双脚","韩国","2023-06-30","中场",26,7,4,41,2,4,11,749,0.86,33,6,356.7,16,5,46,"英超",17,4500
"万亚马","托特纳姆热刺","12(8)",512,"1",512,7,2,"14.3%",6,0,0,"1991-06-25","右脚","肯尼亚","2021-06-30","中场",11,7,8,4,3,13,10,327,0.807,2,0,0,10,0,5,"英超",17,2700
"拉梅拉","托特纳姆热刺","19(10)",972,"4",243,29,11,"13.8%",18,1,1,"1992-03-04","左脚","阿根廷、西班牙","2022-06-30","中场",16,7,1,22,0,4,23,422,0.839,23,2,486,11,6,18,"英超",17,1800
"阿里","托特纳姆热刺","25(3)",1836,"5",367.2,39,19,"12.8%",20,3,1,"1996-04-11","右脚","英格兰、尼日利亚","2022-06-30","中场",33,18,16,31,5,19,23,1030,0.8,27,3,612,49,15,28,"英超",17,9000
"达维森.桑切斯","托特纳姆热刺","23(1)",1943,"1",1943,14,3,"7.1%",10,0,0,"1996-06-12","右脚","哥伦比亚","2024-06-30","后卫",33,27,102,3,9,66,20,1443,0.898,3,1,1943,122,0,1,"英超",17,4950
"V.延森","托特纳姆热刺","3(3)",36,"0",0,3,1,"0%",0,1,0,"1994-06-15","左脚","荷兰","2020-06-30","中场",2,0,1,1,0,3,2,9,0.778,0,0,0,0,0,1,"英超",17,810
"埃里克森","托特纳姆热刺","35(5)",2772,"8",346.5,83,30,"9.6%",16,2,2,"1992-02-14","双脚","丹麦","2020-06-30","中场",41,13,8,34,3,13,17,1868,0.81,72,12,231,158,24,18,"英超",17,7200
"M.西索科","托特纳姆热刺","28(1)",2336,"0",0,15,3,"0%",19,3,0,"1989-08-16","右脚","法国、马里","2021-06-30","中场",36,16,21,30,4,23,24,1344,0.873,25,3,778.7,62,0,34,"英超",17,1620
"阿尔德维尔德","托特纳姆热刺","34(1)",2923,"0",0,18,5,"0%",1,1,0,"1989-03-02","右脚","比利时","2019-06-30","后卫",37,24,167,0,21,50,10,2358,0.885,7,0,0,408,5,1,"英超",17,3600
"加扎尼加","托特纳姆热刺","3",270,"0",0,0,0,"0%",0,0,0,"1992-01-02","右脚","阿根廷、意大利","2022-06-30","守门员",0,0,3,0,0,0,0,93,0.656,0,0,0,48,0,0,"英超",17,90
"罗斯","托特纳姆热刺","26(6)",1798,"0",0,15,2,"0%",47,1,1,"1990-07-02","左脚","英格兰、牙买加","2021-06-30","后卫",48,22,21,21,4,27,26,928,0.737,26,3,599.3,96,3,31,"英超",17,2700
"洛里斯","托特纳姆热刺","33",2970,"0",0,0,0,"0%",2,0,2,"1986-12-26","左脚","法国","2022-06-30","守门员",1,2,33,0,0,10,0,1047,0.735,0,0,0,490,0,0,"英超",17,2700
"戴维斯","托特纳姆热刺","27(7)",1839,"0",0,14,1,"0%",14,0,1,"1993-04-24","左脚","威尔士","2021-06-30","后卫",57,22,63,10,10,44,18,1083,0.829,15,0,0,85,0,5,"英超",17,2250
"M.卢卡斯","托特纳姆热刺","32(7)",2128,"10",212.8,44,19,"22.7%",48,14,3,"1992-08-13","右脚","巴西","2023-06-30","中场",34,24,24,37,1,34,25,722,0.763,27,0,0,26,5,42,"英超",17,2520
"奥里耶","托特纳姆热刺","8(2)",563,"0",0,4,1,"0%",2,1,0,"1992-12-24","右脚","科特迪瓦、法国","2022-06-30","后卫",21,7,18,7,2,11,17,268,0.75,6,2,281.5,19,0,7,"英超",17,1800
"福伊特","托特纳姆热刺","11(1)",931,"1",931,4,1,"25%",9,0,1,"1998-01-12","右脚","阿根廷、西班牙","2022-06-30","后卫",32,9,47,8,5,25,16,586,0.852,4,0,0,48,1,18,"英超",17,1350
"奥特里诺","瓦拉多利德","3",270,"0",0,0,0,"0%",0,0,0,"1988-08-28","右脚","西班牙","2019-06-30","守门员",0,0,2,0,0,0,0,91,0.473,0,0,0,75,0,0,"西甲",NA,135
"辛度拉美利斯","瓦拉多利德","24(14)",1049,"0",0,42,12,"0%",24,9,0,"1995-07-09","右脚","西班牙","2020-06-30","前锋",18,9,1,13,1,10,19,343,0.784,18,0,0,9,2,12,"西甲",NA,360
